id,node_type,sequence,scope_id,name,unknown_props,state,state_id,parent_epic_title
019de682-6be6-7b05-80ed-e046d3a32014,comment,,019de63c-053e-7c5b-874f-6905a02003f8,2026-05-02 progress update: partial config-driven model system landed,body,,,
019de682-6db0-7e1a-9e9d-300e96050224,comment,,019de1a2-dee1-767d-93ed-7e66906a1f7c,"2026-05-02 progress update: discovery scanner split exists, adoption still not fully provider-native",body,,,
019de686-e514-7cd0-9d9b-29c336c8b6d2,comment,,019de1a2-dee1-767d-93ed-7e66906a1f7c,2026-05-02 split into consumable follow-up,body,,,
019de686-e6c2-79b1-822f-ca3438dec973,comment,,019de63c-053e-7c5b-874f-6905a02003f8,2026-05-02 split into consumable follow-up,body,,,
019de68c-26d1-73e5-b3f9-d9985f5f87e7,comment,,019de686-a2d9-7db0-b47e-77cd8875c0af,2026-05-02 implementation note: discovery/adoption slice underway,body,,,
019de697-0977-759a-b567-7483e112b3a1,comment,,019de68c-04c8-711f-8ea2-e193a24490d7,2026-05-02 completed: provider-owned persisted metadata compatibility layer,body,,,
019de69e-09bf-71ff-86e3-bc9bf9295897,comment,,019de1a2-deba-71fa-9d70-4e21d81a0186,2026-05-02 completed: provider settings and cleanup dispatchers,body,,,
019de69e-4453-70a3-8def-0622849bc580,comment,,019de1a2-dee1-767d-93ed-7e66906a1f7c,2026-05-02 completed through CLYDE-172/173,body,,,
019dea67-b7c1-788e-bcde-a57cc70c9180,comment,,019de6c5-03a0-70e6-8011-6368555c883a,Implementation completed,body,,,
019dea77-8df1-77f6-a563-fc10b8693c69,comment,,019de1a2-ded9-7a1b-a021-b978c23be130,Implemented provider-neutral session identity core,body,,,
019dea77-9374-76ae-bee8-26c6d12d0574,comment,,019de1c4-239a-7c53-bf8b-8372d022600f,Implemented correlation-aware logging,body,,,
019dea77-993b-759c-84b1-638901242d4b,comment,,019dc5ed-a9f0-79c3-9185-bfcc67d9e3c0,Cancelled webapp docs cleaned up,body,,,
019dea77-d855-7859-a996-33cd2878d5b6,comment,,019de6aa-ed3b-7f39-a67f-3730e71f6a6c,Implemented Codex native discovery/adoption scanner,body,,,
019dea77-ddb5-79d2-a000-3a9c3b7dcc7a,comment,,019de6ad-5876-750e-96f6-0c2761ba6e63,Codex store path rules implemented,body,,,
